mpid,pmsid,inn_ua,inn_en,atc_code,reg_num,exp_date,language,name,package_pcid,package_status,package_description,package_legal_status,release_form,manufactured_dose_form_id,manufacturer,package_qty
"UA-000000000-000000001","000000001","цефдинір","cefdinir","J01DD15","UA/17823/01/01","17.12.2025","Українська","3-ДІНІР","UA-000000000-000000001-000000001","Діючий","капсули по 300 мг, по 10 капсул у блістері, по 1 блістеру у пачці","Лікарський засіб, що відпускається за рецептом лікаря","Капсула","","ПАТ `Київмедпрепарат` (пакування з in bulk фірми-виробника ФармаВіжн Санаі ве Тікарет А.С., Туреччина)","10.0 Штук(и/а)"
"UA-000000000-000000001","000000001","цефдинір","cefdinir","J01DD15","UA/17823/01/01","17.12.2025","Англійська","3-DINIR","UA-000000000-000000001-000000001","Діючий","капсули по 300 мг, по 10 капсул у блістері, по 1 блістеру у пачці","Лікарський засіб, що відпускається за рецептом лікаря","Капсула","","ПАТ `Київмедпрепарат` (пакування з in bulk фірми-виробника ФармаВіжн Санаі ве Тікарет А.С., Туреччина)","10.0 Штук(и/а)"
"UA-000000000-000000002","000000002","цефдинір","cefdinir","J01DD15","UA/17823/01/01","08.11.2124","Українська","3-ДІНІР","UA-000000000-000000002-000000002","Діючий","капсули по 300 мг, по 10 капсул у блістері, по 1 блістеру у пачці","Лікарський засіб, що відпускається за рецептом лікаря","Капсула","","ПАТ `Київмедпрепарат` (пакування з in bulk фірми-виробника ФармаВіжн Санаі ве Тікарет А.С., Туреччина)","10.0 Штук(и/а)"
"UA-000000000-000000002","000000002","цефдинір","cefdinir","J01DD15","UA/17823/01/01","08.11.2124","Англійська","3-DINIR","UA-000000000-000000002-000000002","Діючий","капсули по 300 мг, по 10 капсул у блістері, по 1 блістеру у пачці","Лікарський засіб, що відпускається за рецептом лікаря","Капсула","","ПАТ `Київмедпрепарат` (пакування з in bulk фірми-виробника ФармаВіжн Санаі ве Тікарет А.С., Туреччина)","10.0 Штук(и/а)"
"UA-000000000-000000003","000000003","цефдинір","cefdinir","J01DD15","UA/17849/01/01","24.11.2124","Англійська","3-DINIR","UA-000000000-000000003-000000003","Діючий","порошок для оральної суспензії 250 мг/5 мл по 1 флакону з порошком для приготування 60 мл суспензії у комплекті зі шприцом - дозатором у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для пероральної суспензії","","Сенс Лабораторіс Пвт. Лтд.","3.0 грам(и)"
"UA-000000000-000000003","000000003","цефдинір","cefdinir","J01DD15","UA/17849/01/01","24.11.2124","Українська","3-ДІНІР","UA-000000000-000000003-000000003","Діючий","порошок для оральної суспензії 250 мг/5 мл по 1 флакону з порошком для приготування 60 мл суспензії у комплекті зі шприцом - дозатором у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для пероральної суспензії","","Сенс Лабораторіс Пвт. Лтд.","3.0 грам(и)"
"UA-000000000-000000004","000000004","цефдинір","cefdinir","J01DD15","UA/17849/01/01","27.12.2025","Українська","3-ДІНІР","UA-000000000-000000004-000026423","Діючий","порошок для оральної суспензії, 250 мг/5 мл; по 1 флакону з порошком для приготування 60 мл суспензії у комплекті зі шприцом -дозатором у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для пероральної суспензії","","Сенс Лабораторіс Пвт. Лтд.","3.0 грам(и)"
"UA-000000000-000000004","000000004","цефдинір","cefdinir","J01DD15","UA/17849/01/01","27.12.2025","Англійська","3-DINIR","UA-000000000-000000004-000026423","Діючий","порошок для оральної суспензії, 250 мг/5 мл; по 1 флакону з порошком для приготування 60 мл суспензії у комплекті зі шприцом -дозатором у картонній упаковці","Лікарський засіб, що відпускається за рецептом лікаря","Порошок для пероральної суспензії","","Сенс Лабораторіс Пвт. Лтд.","3.0 грам(и)"
"UA-000000000-000000005","000000005","амоксицилін; *клавуланова кислота","amoxicillin; ","J01CR02","UA/11903/01/02","22.12.2116","Українська","АБИКЛАВ®","UA-000000000-000000005-000000005","Діючий","таблетки, вкриті плівковою оболонкою по 500 мг/125 мг: по 5 таблеток у блістері, по 4 блістери в пачці з картону","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед","5.0 Штук(и/а)"
"UA-000000000-000000005","000000005","амоксицилін; *клавуланова кислота","amoxicillin; ","J01CR02","UA/11903/01/02","22.12.2116","Англійська","ABYCLAV®","UA-000000000-000000005-000000005","Діючий","таблетки, вкриті плівковою оболонкою по 500 мг/125 мг: по 5 таблеток у блістері, по 4 блістери в пачці з картону","Лікарський засіб, що відпускається за рецептом лікаря","Таблетка, вкрита плівковою оболонкою","","Ауробіндо Фарма Лімітед","5.0 Штук(и/а)"
